GEO_ID,NAME,DP03_0052E,DP03_0052M,DP03_0052PE,DP03_0053E,DP03_0053M,DP03_0053PE,DP03_0054E,DP03_0054M,DP03_0054PE,DP03_0055E,DP03_0055M,DP03_0055PE,DP03_0056E,DP03_0056M,DP03_0056PE,DP03_0057E,DP03_0057M,DP03_0057PE,DP03_0058E,DP03_0058M,DP03_0058PE,DP03_0059E,DP03_0059M,DP03_0059PE,DP03_0060E,DP03_0060M,DP03_0060PE,DP03_0061E,DP03_0061M,DP03_0061PE,DP03_0062E,DP03_0062M,DP03_0062PE,DP03_0088E,DP03_0088M,DP03_0088PE
0500000US01003,"Baldwin County, Alabama",4068,1363,4.9,3189,1126,3.9,7760,1755,9.4,8552,1983,10.4,13600,2247,16.5,11589,1972,14.1,10969,1975,13.3,13141,2378,16.0,4064,1063,4.9,5393,1249,6.6,56439,6268,(X),32443,1962,(X)
0500000US01015,"Calhoun County, Alabama",4307,1386,9.6,3273,1082,7.3,3768,895,8.4,5842,1401,13.1,5696,1185,12.8,8345,1451,18.7,5439,1453,12.2,5758,1205,12.9,1229,713,2.8,979,378,2.2,48156,4922,(X),24579,1780,(X)
0500000US01043,"Cullman County, Alabama",1410,509,4.4,1719,699,5.4,3517,915,11.0,4241,1133,13.2,4768,1030,14.9,7054,1217,22.0,4921,1132,15.3,2748,691,8.6,929,507,2.9,783,453,2.4,50906,3480,(X),23968,1501,(X)
0500000US01049,"DeKalb County, Alabama",1790,724,7.2,2095,953,8.4,3888,923,15.6,1880,795,7.6,4202,1005,16.9,4713,851,18.9,2659,831,10.7,2725,737,11.0,755,506,3.0,173,144,0.7,44208,5702,(X),21939,1942,(X)
0500000US01051,"Elmore County, Alabama",877,420,2.9,577,410,1.9,4064,1284,13.2,3303,1027,10.8,3172,983,10.3,6435,1147,21.0,3511,984,11.4,5015,1282,16.3,1971,628,6.4,1787,693,5.8,61854,5816,(X),31396,2728,(X)
0500000US01055,"Etowah County, Alabama",3955,1051,9.9,2524,661,6.3,6354,1424,15.9,4740,951,11.8,5358,1049,13.4,6999,1242,17.5,3889,1322,9.7,4123,936,10.3,1190,581,3.0,921,505,2.3,41447,4256,(X),25065,2813,(X)
0500000US01069,"Houston County, Alabama",3656,590,9.2,2368,463,6.0,4445,736,11.2,4437,508,11.2,4922,638,12.4,7497,805,18.9,4064,590,10.2,4607,627,11.6,2054,539,5.2,1711,361,4.3,50103,2903,(X),27762,1453,(X)
0500000US01073,"Jefferson County, Alabama",25616,2867,9.7,13321,1972,5.0,23577,3025,8.9,27580,2516,10.4,33319,3677,12.6,45057,3612,17.0,25939,2853,9.8,37430,2399,14.1,15571,2361,5.9,17343,2092,6.6,53944,2334,(X),32561,1161,(X)
0500000US01077,"Lauderdale County, Alabama",3621,969,9.3,2724,925,7.0,4200,1040,10.8,3943,1039,10.2,5874,1234,15.2,6434,1335,16.6,5136,1319,13.3,4847,1137,12.5,909,402,2.3,1073,499,2.8,46632,4682,(X),26872,1852,(X)
0500000US01081,"Lee County, Alabama",7241,1912,11.2,4051,1368,6.3,7518,1994,11.7,4042,1233,6.3,7852,1555,12.2,11558,1933,17.9,6347,1760,9.8,8389,1615,13.0,3682,1109,5.7,3768,984,5.8,53712,6669,(X),31454,2502,(X)
0500000US01083,"Limestone County, Alabama",1181,553,3.7,1887,779,5.9,2689,1033,8.4,3917,956,12.2,3227,967,10.1,5370,1037,16.8,3776,866,11.8,6058,1202,18.9,2161,727,6.7,1754,604,5.5,63695,7295,(X),28327,2456,(X)
0500000US01089,"Madison County, Alabama",8067,1694,5.2,6920,1324,4.4,13904,2060,8.9,13683,2154,8.8,18283,2484,11.7,22622,2555,14.5,19353,2347,12.4,27356,2749,17.5,14364,1839,9.2,11326,1659,7.3,67930,3939,(X),37221,1309,(X)
0500000US01095,"Marshall County, Alabama",2813,717,8.0,1623,490,4.6,4451,899,12.6,2858,750,8.1,5987,1134,16.9,7506,1450,21.2,4244,901,12.0,3460,885,9.8,1260,456,3.6,1128,469,3.2,49467,5095,(X),24572,2017,(X)
0500000US01097,"Mobile County, Alabama",14009,2240,9.0,8974,1833,5.8,17521,2119,11.2,15941,1878,10.2,22112,2576,14.2,31602,3214,20.3,16433,1994,10.5,17582,1838,11.3,6772,1300,4.3,5000,1173,3.2,49639,1885,(X),25716,955,(X)
0500000US01101,"Montgomery County, Alabama",7165,1599,8.1,3185,880,3.6,8178,1533,9.2,8938,1671,10.1,13972,1893,15.7,17948,2765,20.2,9839,1715,11.1,11827,1763,13.3,3970,922,4.5,3842,857,4.3,53117,2094,(X),29319,1321,(X)
0500000US01103,"Morgan County, Alabama",3149,939,6.8,2480,924,5.3,4365,1153,9.4,5109,1224,11.0,5967,1113,12.8,9096,1451,19.6,5614,1262,12.1,6467,1391,13.9,2283,861,4.9,1940,722,4.2,54338,3209,(X),29402,2166,(X)
0500000US01115,"St. Clair County, Alabama",1271,680,3.9,940,602,2.9,2566,1216,7.8,2871,1265,8.7,4128,1371,12.6,6620,1499,20.2,4534,1209,13.8,7306,1487,22.3,1306,530,4.0,1287,486,3.9,67487,6240,(X),28993,2052,(X)
0500000US01117,"Shelby County, Alabama",3300,1067,3.9,2320,781,2.8,6226,1370,7.4,5754,1334,6.8,9084,1482,10.8,15059,1900,17.9,11239,1697,13.4,16587,1874,19.7,6729,1366,8.0,7750,1171,9.2,75614,4757,(X),40523,2216,(X)
